[00:00:33] [Server thread/WARN]: UUID of added entity already exists: class_1542['Breeze Rod'/25567, l='ServerLevel[world]', x=-273.19, y=-14.00, z=52.36]
[00:03:55] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26277, l='ServerLevel[world]', x=-258.52, y=-25.00, z=-18.18]
[00:03:58] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26294, l='ServerLevel[world]', x=-258.70, y=-25.00, z=-18.50]
[00:04:19] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26357, l='ServerLevel[world]', x=-259.30, y=-16.00, z=-19.08]
[00:04:19] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26358, l='ServerLevel[world]', x=-259.30, y=-16.00, z=-19.08]
[00:04:19] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow of Poison'/26359, l='ServerLevel[world]', x=-259.30, y=-16.00, z=-19.08]
[00:04:22] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26371, l='ServerLevel[world]', x=-257.99, y=-15.00, z=-24.41]
[00:04:22] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26375, l='ServerLevel[world]', x=-260.56, y=-17.00, z=-22.31]
[00:04:22] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26376, l='ServerLevel[world]', x=-260.56, y=-17.00, z=-22.31]
[00:04:23] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26378, l='ServerLevel[world]', x=-258.70, y=-15.00, z=-13.30]
[00:04:25] [Server thread/INFO]: MaroDvt was shot by Bogged
[00:04:50] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26546, l='ServerLevel[world]', x=-259.00, y=-25.00, z=-14.70]
[00:04:50] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26547, l='ServerLevel[world]', x=-259.00, y=-25.00, z=-14.70]
[00:04:53] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26555, l='ServerLevel[world]', x=-263.44, y=-20.00, z=-19.55]
[00:04:53] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow of Poison'/26556, l='ServerLevel[world]', x=-263.44, y=-20.00, z=-19.55]
[00:04:54] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26563, l='ServerLevel[world]', x=-262.13, y=-20.00, z=-24.37]
[00:04:58] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26578, l='ServerLevel[world]', x=-260.30, y=-17.00, z=-20.35]
[00:05:00] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26591, l='ServerLevel[world]', x=-259.64, y=-15.08, z=-23.14]
[00:05:00] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26592, l='ServerLevel[world]', x=-259.64, y=-15.08, z=-23.14]
[00:05:00] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow of Poison'/26593, l='ServerLevel[world]', x=-259.64, y=-15.08, z=-23.14]
[00:05:12] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26621, l='ServerLevel[world]', x=-259.87, y=-16.00, z=-22.21]
[00:05:12] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26622, l='ServerLevel[world]', x=-259.87, y=-16.00, z=-22.21]
[00:05:16] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26638, l='ServerLevel[world]', x=-256.49, y=-14.58, z=-18.56]
[00:05:16] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26639, l='ServerLevel[world]', x=-256.49, y=-14.58, z=-18.56]
[00:05:38] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26743, l='ServerLevel[world]', x=-255.94, y=-15.00, z=-16.70]
[00:05:38] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26744, l='ServerLevel[world]', x=-255.94, y=-15.00, z=-16.70]
[00:05:45] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26780, l='ServerLevel[world]', x=-260.16, y=-16.00, z=-17.96]
[00:05:45] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26781, l='ServerLevel[world]', x=-260.16, y=-16.00, z=-17.96]
[00:05:55] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26811, l='ServerLevel[world]', x=-255.30, y=-15.00, z=-15.65]
[00:06:03] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26849, l='ServerLevel[world]', x=-258.94, y=-15.00, z=-17.62]
[00:06:03] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26850, l='ServerLevel[world]', x=-258.94, y=-15.00, z=-17.62]
[00:06:03] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow of Poison'/26851, l='ServerLevel[world]', x=-258.94, y=-15.00, z=-17.62]
[00:07:13] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/27043, l='ServerLevel[world]', x=-255.71, y=-25.00, z=-15.85]
[00:07:13] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow of Poison'/27044, l='ServerLevel[world]', x=-255.71, y=-25.00, z=-15.85]
[00:07:14] [Server thread/WARN]: UUID of added entity already exists: class_1542['Glow Ink Sac'/27046, l='ServerLevel[world]', x=-219.51, y=12.00, z=-132.40]
[00:07:38] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/27135, l='ServerLevel[world]', x=-258.70, y=-25.00, z=-23.75]
[00:10:41] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/27575, l='ServerLevel[world]', x=-359.20, y=68.02, z=-45.55]
[00:10:50] [Server thread/WARN]: UUID of added entity already exists: class_1542['Rotten Flesh'/27607, l='ServerLevel[world]', x=-242.30, y=-2.25, z=-15.33]
[00:10:50] [Server thread/INFO]: Kotori003 was slain by Zombie
[00:10:57] [Server thread/WARN]: UUID of added entity already exists: class_1542['Rotten Flesh'/27685, l='ServerLevel[world]', x=-241.45, y=-2.00, z=-15.14]
[00:11:17] [Server thread/WARN]: UUID of added entity already exists: class_1542['Rotten Flesh'/27747, l='ServerLevel[world]', x=-240.79, y=-3.00, z=-15.06]
[00:11:37] [Server thread/WARN]: UUID of added entity already exists: class_1542['Rotten Flesh'/27808, l='ServerLevel[world]', x=-241.67, y=-2.00, z=-15.26]
[00:11:37] [Server thread/WARN]: UUID of added entity already exists: class_1542['Rotten Flesh'/27813, l='ServerLevel[world]', x=-241.95, y=-2.00, z=-16.13]
[00:11:52] [Server thread/WARN]: UUID of added entity already exists: class_1542['Rotten Flesh'/27853, l='ServerLevel[world]', x=-241.34, y=-2.00, z=-15.20]
